,Mafia,Citizen,Mafia Win Rate,Mafia/Citizen
0,1,2,0.6665000,50.0000000
1,1,3,0.7575000,33.3333333
2,1,4,0.5219000,25.0000000
3,1,5,0.6155000,20.0000000
4,1,6,0.4553000,16.6666667
5,1,7,0.5485000,14.2857143
6,1,8,0.4024000,12.5000000
7,1,9,0.4863000,11.1111111
8,1,10,0.3691000,10.0000000
9,1,11,0.4486000,9.0909091
10,1,12,0.3357000,8.3333333
11,1,13,0.4185000,7.6923077
12,1,14,0.3118000,7.1428571
13,1,15,0.3911000,6.6666667
14,1,16,0.2982000,6.2500000
15,1,17,0.3674000,5.8823529
16,1,18,0.2862000,5.5555556
17,1,19,0.3480000,5.2631579
18,2,3,0.8661000,66.6666667
19,2,4,0.9174000,50.0000000
20,2,5,0.7693000,40.0000000
21,2,6,0.8494000,33.3333333
22,2,7,0.7042000,28.5714286
23,2,8,0.7783000,25.0000000
24,2,9,0.6536000,22.2222222
25,2,10,0.7276000,20.0000000
26,2,11,0.6066000,18.1818182
27,2,12,0.6864000,16.6666667
28,2,13,0.5639000,15.3846154
29,2,14,0.6525000,14.2857143
30,2,15,0.5344000,13.3333333
31,2,16,0.6273000,12.5000000
32,2,17,0.5191000,11.7647059
33,2,18,0.6076000,11.1111111
34,2,19,0.4981000,10.5263158
35,3,4,0.9467000,75.0000000
36,3,5,0.9684000,60.0000000
37,3,6,0.8877000,50.0000000
38,3,7,0.9265000,42.8571429
39,3,8,0.8338000,37.5000000
40,3,9,0.8855000,33.3333333
41,3,10,0.7876000,30.0000000
42,3,11,0.8633000,27.2727273
43,3,12,0.7551000,25.0000000
44,3,13,0.8314000,23.0769231
45,3,14,0.7253000,21.4285714
46,3,15,0.8010000,20.0000000
47,3,16,0.6954000,18.7500000
48,3,17,0.7798000,17.6470588
49,3,18,0.6695000,16.6666667
50,3,19,0.7496000,15.7894737
51,4,5,0.9754000,80.0000000
52,4,6,0.9875000,66.6666667
53,4,7,0.9438000,57.1428571
54,4,8,0.9691000,50.0000000
55,4,9,0.9136000,44.4444444
56,4,10,0.9479000,40.0000000
57,4,11,0.8774000,36.3636364
58,4,12,0.9254000,33.3333333
59,4,13,0.8526000,30.7692308
60,4,14,0.9043000,28.5714286
61,4,15,0.8130000,26.6666667
62,4,16,0.8844000,25.0000000
63,4,17,0.7944000,23.5294118
64,4,18,0.8621000,22.2222222
65,4,19,0.7790000,21.0526316
66,5,6,0.9867000,83.3333333
67,5,7,0.9949000,71.4285714
68,5,8,0.9698000,62.5000000
69,5,9,0.9877000,55.5555556
70,5,10,0.9526000,50.0000000
71,5,11,0.9709000,45.4545455
72,5,12,0.9295000,41.6666667
73,5,13,0.9615000,38.4615385
74,5,14,0.9079000,35.7142857
75,5,15,0.9496000,33.3333333
76,5,16,0.8896000,31.2500000
77,5,17,0.9338000,29.4117647
78,5,18,0.8655000,27.7777778
79,5,19,0.9176000,26.3157895
80,6,7,0.9947000,85.7142857
81,6,8,0.9972000,75.0000000
82,6,9,0.9823000,66.6666667
83,6,10,0.9943000,60.0000000
84,6,11,0.9744000,54.5454545
85,6,12,0.9860000,50.0000000
86,6,13,0.9582000,46.1538462
87,6,14,0.9788000,42.8571429
88,6,15,0.9462000,40.0000000
89,6,16,0.9706000,37.5000000
90,6,17,0.9319000,35.2941176
91,6,18,0.9607000,33.3333333
92,6,19,0.9169000,31.5789474
93,7,8,0.9970000,87.5000000
94,7,9,0.9992000,77.7777778
95,7,10,0.9924000,70.0000000
96,7,11,0.9963000,63.6363636
97,7,12,0.9864000,58.3333333
98,7,13,0.9930000,53.8461538
99,7,14,0.9769000,50.0000000
100,7,15,0.9878000,46.6666667
101,7,16,0.9675000,43.7500000
102,7,17,0.9828000,41.1764706
103,7,18,0.9577000,38.8888889
104,7,19,0.9755000,36.8421053
